game_id,poss_index,offense_team,defense_team,off_p1,off_p2,off_p3,off_p4,off_p5,def_p1,def_p2,def_p3,def_p4,def_p5,points,points_adj,ended_by,period,date
22500947,28,1610612753,1610612739,1628976,1630217,1630591,1631094,1641783,201935,1629731,1630241,1630596,1642281,2,2.0,made_shot,1,2026-03-11
22500947,29,1610612739,1610612753,201935,1630241,1630596,1631165,1642281,1628976,1630591,1631094,1641724,1641783,0,0.0,free_throw,1,2026-03-11
22500947,30,1610612753,1610612739,1628976,1630591,1631094,1641724,1641783,201935,1630241,1630596,1631165,1642281,3,1.269,made_shot,1,2026-03-11
22500947,31,1610612739,1610612753,201935,1630241,1630596,1631165,1642281,1628976,1630591,1631094,1641724,1641783,3,1.486,made_shot,1,2026-03-11
22500947,32,1610612753,1610612739,1628976,1630591,1631094,1641724,1641783,201935,1630241,1630596,1631165,1642281,0,0.0,defensive_rebound,1,2026-03-11
22500947,33,1610612739,1610612753,201935,1630241,1630596,1631165,1642281,1628976,1630591,1631094,1641724,1641783,2,2.0,made_shot,1,2026-03-11
22500947,35,1610612739,1610612753,201935,1630241,1630596,1631165,1642281,1628976,1630591,1631094,1641724,1641783,0,0.0,turnover,1,2026-03-11
22500947,36,1610612753,1610612739,1628976,1630591,1631094,1641724,1641783,201935,1630241,1630596,1631165,1642281,0,0.0,steal,1,2026-03-11
22500947,37,1610612753,1610612739,1628976,1630591,1631094,1641724,1641783,201935,1630241,1630596,1631165,1642281,2,2.0,made_shot,1,2026-03-11
22500947,38,1610612739,1610612753,201935,203471,1628418,1631165,1642281,1628975,1629021,1631094,1641724,1641783,3,1.238,made_shot,1,2026-03-11
22500947,39,1610612753,1610612739,1628975,1629021,1631094,1641724,1641783,201935,203471,1628418,1631165,1642281,2,2.0,made_shot,1,2026-03-11
22500947,40,1610612739,1610612753,201935,203471,1628418,1631165,1642281,1628975,1629021,1631094,1641724,1641783,0,0.0,defensive_rebound,1,2026-03-11
22500947,41,1610612753,1610612739,1628975,1629021,1631094,1641724,1641783,201935,203471,1628418,1631165,1642281,3,1.247,made_shot,1,2026-03-11
22500947,42,1610612739,1610612753,203471,1628378,1628418,1631165,1642281,1628975,1629021,1630217,1631094,1641724,0,0.0,defensive_rebound,1,2026-03-11
22500947,43,1610612753,1610612739,1628975,1629021,1630217,1631094,1641724,203471,1628378,1628418,1631165,1642281,2,2.0,made_shot,1,2026-03-11
22500947,44,1610612739,1610612753,203471,1628378,1628418,1631165,1642281,1628975,1629021,1630217,1641724,1642869,0,0.0,free_throw,1,2026-03-11
22500947,46,1610612739,1610612753,203471,1628378,1628418,1631165,1642281,1628975,1629021,1630217,1641724,1642869,3,1.429,made_shot,1,2026-03-11
22500947,50,1610612739,1610612753,203471,1628378,1628418,1631165,1642281,1628975,1629021,1630217,1641724,1642869,3,1.468,made_shot,1,2026-03-11
22500947,51,1610612753,1610612739,1628975,1629021,1630217,1641724,1642869,203471,1628378,1628418,1631165,1642281,0,0.0,defensive_rebound,1,2026-03-11
22500947,52,1610612739,1610612753,203471,1628378,1628418,1631165,1642281,1628975,1629021,1630217,1641724,1642869,0,0.0,defensive_rebound,1,2026-03-11
22500947,53,1610612753,1610612739,1628975,1629021,1630217,1641724,1642869,203471,1628378,1628418,1631165,1642281,2,2.0,made_shot,1,2026-03-11
22500947,54,1610612739,1610612753,203471,1628378,1628418,1631165,1642281,1628975,1629021,1630217,1641724,1642869,2,2.0,free_throw,1,2026-03-11
22500947,55,1610612753,1610612739,1628975,1629021,1630217,1641724,1642869,203471,1628378,1628418,1631165,1642281,0,0.0,turnover,1,2026-03-11
